id,type,code,name_km,name_en,provinceId
146,ស្រុក,1609,វើនសៃ,Veun Sai,16
147,ស្រុក,1701,អង្គរជុំ,Angkor Chum,17
148,ស្រុក,1702,អង្គរធំ,Angkor Thum,17
149,ស្រុក,1703,បន្ទាយស្រី,Banteay Srei,17
150,ស្រុក,1704,ជីក្រែង,Chi Kraeng,17
151,ស្រុក,1706,ក្រឡាញ់,Kralanh,17
152,ស្រុក,1707,ពួក,Puok,17
153,ស្រុក,1709,ប្រាសាទបាគង,Prasat Bakong,17
154,ក្រុង,1710,សៀមរាប,Siem Reap,17
155,ស្រុក,1711,សូទ្រនិគម,Soutr Nikom,17
156,ស្រុក,1712,ស្រីស្នំ,Srei Snam,17
157,ស្រុក,1713,ស្វាយលើ,Svay Leu,17
158,ស្រុក,1714,វ៉ារិន,Varin,17
159,ក្រុង,1801,ព្រះសីហនុ,Preah Sihanouk,18
160,ស្រុក,1802,ព្រៃនប់,Prey Nob,18
161,ស្រុក,1803,ស្ទឹងហាវ,Stueng Hav,18
162,ស្រុក,1804,កំពង់សីលា,Kampong Seila,18
163,ក្រុង,1805,កោះរ៉ុង,Kaoh Rung,18
164,ស្រុក,1901,សេសាន,Sesan,19
165,ស្រុក,1902,សៀមបូក,Siem Bouk,19
166,ស្រុក,1903,សៀមប៉ាង,Siem Pang,19
167,ក្រុង,1904,ស្ទឹងត្រែង,Stueng Traeng,19
168,ស្រុក,1905,ថាឡាបរិវ៉ាត់,Thala Barivat,19
169,ស្រុក,1906,បុរីអូរស្វាយសែនជ័យ,Borei Ou Svay Senchey,19
170,ស្រុក,2001,ចន្ទ្រា,Chantrea,20
171,ស្រុក,2002,កំពង់រោទិ៍,Kampong Rou,20
172,ស្រុក,2003,រំដួល,Rumduol,20
173,ស្រុក,2004,រមាសហែក,Romeas Haek,20
174,ស្រុក,2005,ស្វាយជ្រំ,Svay Chrum,20
175,ក្រុង,2006,ស្វាយរៀង,Svay Rieng,20
176,ស្រុក,2007,ស្វាយទាប,Svay Teab,20
177,ក្រុង,2008,បាវិត,Bavet,20
178,ស្រុក,2101,អង្គរបូរី,Angkor Borei,21
179,ស្រុក,2102,បាទី,Bati,21
180,ស្រុក,2103,បូរីជលសារ,Borei Cholsar,21
181,ស្រុក,2104,គីរីវង់,Kiri Vong,21
182,ស្រុក,2105,កោះអណ្ដែត,Kaoh Andaet,21
183,ស្រុក,2106,ព្រៃកប្បាស,Prey Kabbas,21
184,ស្រុក,2107,សំរោង,Samraong,21
185,ក្រុង,2108,ដូនកែវ,Doun Kaev,21
186,ស្រុក,2109,ត្រាំកក់,Tram Kak,21
187,ស្រុក,2110,ទ្រាំង,Treang,21
188,ស្រុក,2201,អន្លង់វែង,Anlong Veaeng,22
189,ស្រុក,2202,បន្ទាយអំពិល,Banteay Ampil,22
190,ស្រុក,2203,ចុងកាល់,Chong Kal,22
191,ក្រុង,2204,សំរោង,Samraong,22
192,ស្រុក,2205,ត្រពាំងប្រាសាទ,Trapeang Prasat,22
193,ស្រុក,2301,ដំណាក់ចង្អើរ,Damnak Chang'aeur,23
194,ក្រុង,2302,កែប,Kaeb,23
195,ក្រុង,2401,ប៉ៃលិន,Pailin,24
196,ស្រុក,2402,សាលាក្រៅ,Sala Krau,24
197,ស្រុក,2501,តំបែរ,Dambae,25
198,ស្រុក,2502,ក្រូចឆ្មារ,Krouch Chhmar,25
199,ស្រុក,2503,មេមត់,Memot,25
200,ស្រុក,2504,អូររាំងឪ,Ou Reang Ov,25
201,ស្រុក,2505,ពញាក្រែក,Ponhea Kraek,25
202,ក្រុង,2506,សួង,Suong,25
203,ស្រុក,2507,ត្បូងឃ្មុំ,Tboung Khmum,25
